predictor,coefficient
co2,3440214.8819486694
consumption_co2,-3237523.78930074
trade_co2,487200.852771605
coal_co2,44.5034498809796
primary_energy_consumption,-28.090995281429137
oil_co2,26.66949696332289
gas_co2,13.501248135166254
energy_per_capita,7.127519173526141
gdp,4.890387546411094
population,-2.2734355671595146
cement_co2,1.611236845230355
nitrous_oxide,1.1775100817766357
flaring_co2,0.7148652375653708
energy_per_gdp,0.6667078611320025
total_ghg,-0.6307400329105946
methane,0.5805448293274522
